[Thread 105] ✅ Checking Point (2.863986, 0.584802) -> ring_start=3360, ring_end=3392, Inside=0, Case=0
[Thread 106] ✅ Checking Point (0.584802, 0.072450) -> ring_start=3392, ring_end=3424, Inside=0, Case=1
[Thread 107] ✅ Checking Point (0.072450, 1.336861) -> ring_start=3424, ring_end=3456, Inside=0, Case=1
[Thread 108] ✅ Checking Point (1.336861, 0.975956) -> ring_start=3456, ring_end=3488, Inside=0, Case=1
[Thread 109] ✅ Checking Point (0.975956, 2.783078) -> ring_start=3488, ring_end=3520, Inside=1, Case=1
[Thread 110] ✅ Checking Point (2.783078, 0.429027) -> ring_start=3520, ring_end=3552, Inside=0, Case=1
[Thread 111] ✅ Checking Point (0.429027, 2.811175) -> ring_start=3552, ring_end=3584, Inside=0, Case=1
[Thread 112] ✅ Checking Point (2.811175, 1.070943) -> ring_start=3584, ring_end=3616, Inside=0, Case=1
[Thread 113] ✅ Checking Point (1.070943, 1.125236) -> ring_start=3616, ring_end=3648, Inside=0, Case=1
[Thread 114] ✅ Checking Point (1.125236, 1.413769) -> ring_start=3648, ring_end=3680, Inside=1, Case=1
[Thread 115] ✅ Checking Point (1.413769, 1.793564) -> ring_start=3680, ring_end=3712, Inside=0, Case=0
[Thread 116] ✅ Checking Point (1.793564, 2.240264) -> ring_start=3712, ring_end=3744, Inside=1, Case=1
[Thread 117] ✅ Checking Point (2.240264, 2.367432) -> ring_start=3744, ring_end=3776, Inside=0, Case=0
[Thread 118] ✅ Checking Point (2.367432, 1.943273) -> ring_start=3776, ring_end=3808, Inside=0, Case=1
[Thread 119] ✅ Checking Point (1.943273, 0.344371) -> ring_start=3808, ring_end=3840, Inside=0, Case=0
[Thread 120] ✅ Checking Point (0.344371, 2.752819) -> ring_start=3840, ring_end=3872, Inside=1, Case=1
[Thread 121] ✅ Checking Point (2.752819, 2.600775) -> ring_start=3872, ring_end=3904, Inside=0, Case=0
[Thread 122] ✅ Checking Point (2.600775, 1.141633) -> ring_start=3904, ring_end=3936, Inside=0, Case=1
[Thread 123] ✅ Checking Point (1.141633, 1.264947) -> ring_start=3936, ring_end=3968, Inside=0, Case=1
[Thread 124] ✅ Checking Point (1.264947, 2.103319) -> ring_start=3968, ring_end=4000, Inside=1, Case=1
[Thread 125] ✅ Checking Point (2.103319, 2.703082) -> ring_start=4000, ring_end=4032, Inside=0, Case=0
[Thread 126] ✅ Checking Point (2.703082, 2.750540) -> ring_start=4032, ring_end=4064, Inside=1, Case=1
[Thread 127] ✅ Checking Point (2.750540, 1.112960) -> ring_start=4064, ring_end=4096, Inside=0, Case=0
[Thread 128] ✅ Checking Point (1.112960, 1.795847) -> ring_start=4096, ring_end=4128, Inside=1, Case=1
[Thread 129] ✅ Checking Point (1.795847, 1.441732) -> ring_start=4128, ring_end=4160, Inside=0, Case=0
[Thread 130] ✅ Checking Point (1.441732, 2.156570) -> ring_start=4160, ring_end=4192, Inside=1, Case=1
[Thread 131] ✅ Checking Point (2.156570, 2.032870) -> ring_start=4192, ring_end=4224, Inside=0, Case=0
[Thread 132] ✅ Checking Point (2.032870, 1.322970) -> ring_start=4224, ring_end=4256, Inside=0, Case=1
[Thread 133] ✅ Checking Point (1.322970, 2.765297) -> ring_start=4256, ring_end=4288, Inside=0, Case=1
[Thread 134] ✅ Checking Point (2.765297, 0.396311) -> ring_start=4288, ring_end=4320, Inside=0, Case=1
[Thread 135] ✅ Checking Point (0.396311, 2.825143) -> ring_start=4320, ring_end=4352, Inside=1, Case=1
[Thread 136] ✅ Checking Point (2.825143, 1.998305) -> ring_start=4352, ring_end=4384, Inside=0, Case=1
[Thread 137] ✅ Checking Point (1.998305, 0.243296) -> ring_start=4384, ring_end=4416, Inside=0, Case=0
[Thread 138] ✅ Checking Point (0.243296, 0.019165) -> ring_start=4416, ring_end=4448, Inside=0, Case=1
[Thread 139] ✅ Checking Point (0.019165, 2.861252) -> ring_start=4448, ring_end=4480, Inside=0, Case=0
[Thread 140] ✅ Checking Point (2.861252, 2.339996) -> ring_start=4480, ring_end=4512, Inside=0, Case=1
[Thread 141] ✅ Checking Point (2.339996, 1.669641) -> ring_start=4512, ring_end=4544, Inside=0, Case=0
[Thread 142] ✅ Checking Point (1.669641, 2.435712) -> ring_start=4544, ring_end=4576, Inside=1, Case=1
[Thread 143] ✅ Checking Point (2.435712, 2.744357) -> ring_start=4576, ring_end=4608, Inside=0, Case=0
[Thread 144] ✅ Checking Point (2.744357, 0.970772) -> ring_start=4608, ring_end=4640, Inside=0, Case=1
[Thread 145] ✅ Checking Point (0.970772, 0.301446) -> ring_start=4640, ring_end=4672, Inside=0, Case=0
[Thread 146] ✅ Checking Point (0.301446, 1.457474) -> ring_start=4672, ring_end=4704, Inside=1, Case=1
[Thread 147] ✅ Checking Point (1.457474, 2.119903) -> ring_start=4704, ring_end=4736, Inside=0, Case=0
[Thread 148] ✅ Checking Point (2.119903, 0.814712) -> ring_start=4736, ring_end=4768, Inside=0, Case=1
[Thread 149] ✅ Checking Point (0.814712, 0.474968) -> ring_start=4768, ring_end=4800, Inside=0, Case=0
[Thread 150] ✅ Checking Point (0.474968, 2.670522) -> ring_start=4800, ring_end=4832, Inside=1, Case=1
[Thread 151] ✅ Checking Point (2.670522, 0.937364) -> ring_start=4832, ring_end=4864, Inside=0, Case=0
[Thread 152] ✅ Checking Point (0.937364, 0.891291) -> ring_start=4864, ring_end=4896, Inside=1, Case=1
[Thread 153] ✅ Checking Point (0.891291, 0.118839) -> ring_start=4896, ring_end=4928, Inside=0, Case=0
[Thread 154] ✅ Checking Point (0.118839, 2.372067) -> ring_start=4928, ring_end=4960, Inside=1, Case=1
[Thread 155] ✅ Checking Point (2.372067, 1.056533) -> ring_start=4960, ring_end=4992, Inside=0, Case=0
[Thread 156] ✅ Checking Point (1.056533, 2.197757) -> ring_start=4992, ring_end=5024, Inside=1, Case=1
[Thread 157] ✅ Checking Point (2.197757, 2.822116) -> ring_start=5024, ring_end=5056, Inside=0, Case=0
[Thread 158] ✅ Checking Point (2.822116, 2.887611) -> ring_start=5056, ring_end=5088, Inside=1, Case=1
[Thread 159] ✅ Checking Point (2.887611, 2.249387) -> ring_start=5088, ring_end=5120, Inside=0, Case=0
[Thread 160] ✅ Checking Point (2.249387, 2.642297) -> ring_start=5120, ring_end=5152, Inside=1, Case=1
[Thread 161] ✅ Checking Point (2.642297, 1.344333) -> ring_start=5152, ring_end=5184, Inside=0, Case=0
[Thread 162] ✅ Checking Point (1.344333, 1.629323) -> ring_start=5184, ring_end=5216, Inside=1, Case=1
[Thread 163] ✅ Checking Point (1.629323, 2.886207) -> ring_start=5216, ring_end=5248, Inside=0, Case=0
[Thread 164] ✅ Checking Point (2.886207, 0.667012) -> ring_start=5248, ring_end=5280, Inside=0, Case=1
[Thread 165] ✅ Checking Point (0.667012, 2.422485) -> ring_start=5280, ring_end=5312, Inside=0, Case=1
[Thread 166] ✅ Checking Point (2.422485, 2.548630) -> ring_start=5312, ring_end=5344, Inside=1, Case=1
[Thread 167] ✅ Checking Point (2.548630, 2.158613) -> ring_start=5344, ring_end=5376, Inside=0, Case=0
[Thread 168] ✅ Checking Point (2.158613, 2.783850) -> ring_start=5376, ring_end=5408, Inside=1, Case=1
[Thread 169] ✅ Checking Point (2.783850, 0.241506) -> ring_start=5408, ring_end=5440, Inside=0, Case=0
[Thread 170] ✅ Checking Point (0.241506, 2.282112) -> ring_start=5440, ring_end=5472, Inside=1, Case=1
[Thread 171] ✅ Checking Point (2.282112, 1.862934) -> ring_start=5472, ring_end=5504, Inside=0, Case=0
[Thread 172] ✅ Checking Point (1.862934, 2.353985) -> ring_start=5504, ring_end=5536, Inside=1, Case=1
[Thread 173] ✅ Checking Point (2.353985, 1.554364) -> ring_start=5536, ring_end=5568, Inside=0, Case=0
[Thread 174] ✅ Checking Point (1.554364, 0.521786) -> ring_start=5568, ring_end=5600, Inside=0, Case=1
[Thread 175] ✅ Checking Point (0.521786, 1.697060) -> ring_start=5600, ring_end=5632, Inside=0, Case=1
[Thread 176] ✅ Checking Point (1.697060, 0.094179) -> ring_start=5632, ring_end=5664, Inside=0, Case=1
[Thread 177] ✅ Checking Point (0.094179, 0.968827) -> ring_start=5664, ring_end=5696, Inside=0, Case=1
[Thread 178] ✅ Checking Point (0.968827, 0.678862) -> ring_start=5696, ring_end=5728, Inside=0, Case=1
[Thread 179] ✅ Checking Point (0.678862, 2.313064) -> ring_start=5728, ring_end=5760, Inside=1, Case=1
[Thread 180] ✅ Checking Point (2.313064, 0.206019) -> ring_start=5760, ring_end=5792, Inside=0, Case=1
[Thread 181] ✅ Checking Point (0.206019, 1.409342) -> ring_start=5792, ring_end=5824, Inside=0, Case=1
[Thread 182] ✅ Checking Point (1.409342, 1.639735) -> ring_start=5824, ring_end=5856, Inside=1, Case=1
[Thread 183] ✅ Checking Point (1.639735, 0.341930) -> ring_start=5856, ring_end=5888, Inside=0, Case=0
[Thread 184] ✅ Checking Point (0.341930, 2.516468) -> ring_start=5888, ring_end=5920, Inside=1, Case=1
[Thread 185] ✅ Checking Point (2.516468, 0.702133) -> ring_start=5920, ring_end=5952, Inside=0, Case=0
[Thread 186] ✅ Checking Point (0.702133, 2.780761) -> ring_start=5952, ring_end=5984, Inside=1, Case=1
[Thread 187] ✅ Checking Point (2.780761, 0.029608) -> ring_start=5984, ring_end=6016, Inside=0, Case=0
[Thread 188] ✅ Checking Point (0.029608, 0.459884) -> ring_start=6016, ring_end=6048, Inside=1, Case=1
[Thread 189] ✅ Checking Point (0.459884, 1.908095) -> ring_start=6048, ring_end=6080, Inside=0, Case=0
[Thread 190] ✅ Checking Point (1.908095, 1.885955) -> ring_start=6080, ring_end=6112, Inside=1, Case=1
[Thread 191] ✅ Checking Point (1.885955, 2.374978) -> ring_start=6112, ring_end=6144, Inside=1, Case=1
[Thread 192] ✅ Checking Point (2.374978, 2.679749) -> ring_start=6144, ring_end=6176, Inside=1, Case=1
[Thread 193] ✅ Checking Point (2.679749, 2.414518) -> ring_start=6176, ring_end=6208, Inside=0, Case=0
[Thread 194] ✅ Checking Point (2.414518, 2.742444) -> ring_start=6208, ring_end=6240, Inside=1, Case=1
[Thread 195] ✅ Checking Point (2.742444, 0.654207) -> ring_start=6240, ring_end=6272, Inside=0, Case=0
[Thread 196] ✅ Checking Point (0.654207, 0.638709) -> ring_start=6272, ring_end=6304, Inside=1, Case=1
[Thread 197] ✅ Checking Point (0.638709, 0.968775) -> ring_start=6304, ring_end=6336, Inside=1, Case=1
[Thread 198] ✅ Checking Point (0.968775, 0.316969) -> ring_start=6336, ring_end=6368, Inside=0, Case=1
[Thread 199] ✅ Checking Point (0.316969, 1.057368) -> ring_start=6368, ring_end=6400, Inside=0, Case=1
[Thread 200] ✅ Checking Point (1.057368, 1.092024) -> ring_start=6400, ring_end=6432, Inside=1, Case=1
[Thread 201] ✅ Checking Point (1.092024, 1.339780) -> ring_start=6432, ring_end=6464, Inside=1, Case=1
[Thread 202] ✅ Checking Point (1.339780, 0.659001) -> ring_start=6464, ring_end=6496, Inside=0, Case=1
[Thread 203] ✅ Checking Point (0.659001, 1.984665) -> ring_start=6496, ring_end=6528, Inside=0, Case=1
[Thread 204] ✅ Checking Point (1.984665, 2.681862) -> ring_start=6528, ring_end=6560, Inside=1, Case=1
[Thread 205] ✅ Checking Point (2.681862, 0.438809) -> ring_start=6560, ring_end=6592, Inside=0, Case=0
[Thread 206] ✅ Checking Point (0.438809, 2.716409) -> ring_start=6592, ring_end=6624, Inside=1, Case=1
